trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_black_3,Right,0.5,False
1,checkerboard_separate,Left,0.49,False
2,sbc_separate,Right,0.49,False
3,checkerboard,Left,0.51,True
4,checkerboard,Right,0.51,False
5,catch_trial_white_3,Right,0.5,False
6,strip,Right,0.5,True
7,sbc_separate,Left,0.49,False
8,whites_separate,Left,0.49,True
9,bullseye_high_freq,Right,0.51,True
10,catch_trial_white_3,Left,0.5,False
11,whites,Left,0.51,False
12,bullseye_low_separate,Right,0.5,False
13,whites_separate,Right,0.49,False
14,whites,Right,0.51,False
15,catch_trial_black_3,Left,0.5,False
16,sbc,Left,0.5,False
17,sbc,Right,0.5,True
18,checkerboard_separate,Right,0.49,False
19,bullseye_low_separate,Left,0.5,True
20,strip,Left,0.5,True
21,bullseye_high_freq,Left,0.51,False
