trial,stim,likert_flipped,presented_intensity
0,catch_trial_5_white_both,False,
1,whites_separate,False,0.51
2,catch_trial_4_white_both,False,
3,checkerboard,True,0.5
4,catch_trial_2_white_both,False,
5,sbc,False,0.49
6,catch_trial_3_black_both,False,
7,checkerboard,False,0.5
8,catch_trial_2_black_both,False,
9,strip,True,0.49
10,catch_trial_1_white_both,False,
11,sbc,True,0.49
12,catch_trial_5_black_both,False,
13,sbc_separate,True,0.51
14,catch_trial_1_black_both,False,
15,checkerboard_separate,True,0.51
16,catch_trial_3_white_both,False,
17,whites,False,0.5
18,catch_trial_4_black_both,False,
19,bullseye_high_freq,False,0.5
20,sbc_separate,False,0.51
21,whites,True,0.5
22,strip,False,0.49
23,whites_separate,True,0.51
24,checkerboard_separate,False,0.51
25,bullseye_low_separate,False,0.49
26,bullseye_low_separate,True,0.49
27,bullseye_high_freq,True,0.5
