trial,stim,target_side,presented_intensity,matching_flipped
0,catch_trial_white_3,Left,0.5,False
1,sbc,Right,0.49,True
2,bullseye_high_freq,Left,0.5,True
3,sbc_separate,Left,0.51,True
4,strip,Left,0.49,True
5,catch_trial_black_3,Right,0.5,False
6,sbc,Left,0.49,False
7,whites_separate,Right,0.51,True
8,checkerboard,Left,0.5,False
9,whites,Left,0.5,True
10,catch_trial_white_3,Right,0.5,False
11,bullseye_low_separate,Left,0.49,True
12,checkerboard,Right,0.5,True
13,bullseye_high_freq,Right,0.5,False
14,sbc_separate,Right,0.51,True
15,catch_trial_black_3,Left,0.5,False
16,strip,Right,0.49,True
17,bullseye_low_separate,Right,0.49,True
18,whites,Right,0.5,False
19,checkerboard_separate,Right,0.51,False
20,whites_separate,Left,0.51,False
21,checkerboard_separate,Left,0.51,False
